,Value,Time
0,    39 021 778.116,2018-10-30 13:35:00.0000000
1,    39 021 678.730,2018-10-30 13:30:00.0000000
2,    39 021 559.372,2018-10-30 13:25:00.0000000
3,    39 021 451.668,2018-10-30 13:20:00.0000000
4,    39 021 343.214,2018-10-30 13:15:00.0000000
5,    39 021 243.075,2018-10-30 13:10:00.0000000
6,    39 021 138.542,2018-10-30 13:05:00.0000000
7,    39 021 042.041,2018-10-30 13:00:00.0000000
8,    39 020 945.719,2018-10-30 12:55:00.0000000
9,    39 020 836.712,2018-10-30 12:50:00.0000000
10,    39 020 737.016,2018-10-30 12:45:00.0000000
11,    39 020 639.006,2018-10-30 12:40:00.0000000
12,    39 020 537.411,2018-10-30 12:35:00.0000000
13,    39 020 433.631,2018-10-30 12:30:00.0000000
14,    39 020 339.801,2018-10-30 12:25:00.0000000
15,    39 020 235.915,2018-10-30 12:20:00.0000000
16,    39 020 135.725,2018-10-30 12:15:00.0000000
17,    39 020 049.734,2018-10-30 12:10:00.0000000
18,    39 019 957.112,2018-10-30 12:05:00.0000000
19,    39 019 861.600,2018-10-30 12:00:00.0000000
20,    39 019 772.704,2018-10-30 11:55:00.0000000
21,    39 019 679.619,2018-10-30 11:50:00.0000000
22,    39 019 571.016,2018-10-30 11:45:00.0000000
23,    39 019 468.604,2018-10-30 11:40:00.0000000
24,    39 019 361.627,2018-10-30 11:35:00.0000000
25,    39 019 263.902,2018-10-30 11:30:00.0000000
26,    39 019 166.176,2018-10-30 11:25:00.0000000
27,    39 019 056.485,2018-10-30 11:20:00.0000000
28,    39 018 945.675,2018-10-30 11:15:00.0000000
29,    39 018 845.305,2018-10-30 11:10:00.0000000
30,    39 018 744.672,2018-10-30 11:05:00.0000000
31,    39 018 644.780,2018-10-30 11:00:00.0000000
32,    39 018 538.761,2018-10-30 10:55:00.0000000
33,    39 018 441.089,2018-10-30 10:50:00.0000000
34,    39 018 349.706,2018-10-30 10:45:00.0000000
35,    39 018 250.990,2018-10-30 10:40:00.0000000
36,    39 018 157.625,2018-10-30 10:35:00.0000000
37,    39 018 062.303,2018-10-30 10:30:00.0000000
38,    39 017 967.842,2018-10-30 10:25:00.0000000
39,    39 017 873.288,2018-10-30 10:20:00.0000000
40,    39 017 780.686,2018-10-30 10:15:00.0000000
41,    39 017 682.886,2018-10-30 10:10:00.0000000
42,    39 017 571.100,2018-10-30 10:05:00.0000000
43,    39 017 464.675,2018-10-30 10:00:00.0000000
44,    39 017 362.749,2018-10-30 09:55:00.0000000
45,    39 017 270.013,2018-10-30 09:50:00.0000000
46,    39 017 180.731,2018-10-30 09:45:00.0000000
47,    39 017 092.908,2018-10-30 09:40:00.0000000
48,    39 016 986.287,2018-10-30 09:35:00.0000000
49,    39 016 884.646,2018-10-30 09:30:00.0000000
50,    39 016 778.808,2018-10-30 09:25:00.0000000
51,    39 016 678.330,2018-10-30 09:20:00.0000000
52,    39 016 568.905,2018-10-30 09:15:00.0000000
53,    39 016 467.636,2018-10-30 09:10:00.0000000
54,    39 016 370.828,2018-10-30 09:05:00.0000000
55,    39 016 272.996,2018-10-30 09:00:00.0000000
56,    39 016 168.802,2018-10-30 08:55:00.0000000
57,    39 016 067.153,2018-10-30 08:50:00.0000000
58,    39 015 960.515,2018-10-30 08:45:00.0000000
59,    39 015 854.535,2018-10-30 08:40:00.0000000
60,    39 015 754.041,2018-10-30 08:35:00.0000000
61,    39 015 655.100,2018-10-30 08:30:00.0000000
62,    39 015 554.471,2018-10-30 08:25:00.0000000
63,    39 015 452.439,2018-10-30 08:20:00.0000000
64,    39 015 359.661,2018-10-30 08:15:00.0000000
65,    39 015 249.065,2018-10-30 08:10:00.0000000
66,    39 015 138.896,2018-10-30 08:05:00.0000000
67,    39 015 040.755,2018-10-30 08:00:00.0000000
68,    39 014 938.441,2018-10-30 07:55:00.0000000
69,    39 014 836.372,2018-10-30 07:50:00.0000000
70,    39 014 727.891,2018-10-30 07:45:00.0000000
71,    39 014 627.126,2018-10-30 07:40:00.0000000
72,    39 014 531.370,2018-10-30 07:35:00.0000000
73,    39 014 432.134,2018-10-30 07:30:00.0000000
74,    39 014 346.808,2018-10-30 07:25:00.0000000
75,    39 014 258.640,2018-10-30 07:20:00.0000000
76,    39 014 166.143,2018-10-30 07:15:00.0000000
77,    39 014 076.955,2018-10-30 07:10:00.0000000
78,    39 013 985.231,2018-10-30 07:05:00.0000000
79,    39 013 889.872,2018-10-30 07:00:00.0000000
80,    39 013 790.169,2018-10-30 06:55:00.0000000
81,    39 013 686.929,2018-10-30 06:50:00.0000000
82,    39 013 582.569,2018-10-30 06:45:00.0000000
83,    39 013 480.364,2018-10-30 06:40:00.0000000
84,    39 013 386.859,2018-10-30 06:35:00.0000000
85,    39 013 290.269,2018-10-30 06:30:00.0000000
86,    39 013 185.292,2018-10-30 06:25:00.0000000
87,    39 013 087.101,2018-10-30 06:20:00.0000000
88,    39 012 994.864,2018-10-30 06:15:00.0000000
89,    39 012 899.895,2018-10-30 06:10:00.0000000
90,    39 012 805.212,2018-10-30 06:05:00.0000000
91,    39 012 703.036,2018-10-30 06:00:00.0000000
92,    39 012 608.265,2018-10-30 05:55:00.0000000
93,    39 012 514.335,2018-10-30 05:50:00.0000000
94,    39 012 416.830,2018-10-30 05:45:00.0000000
95,    39 012 317.410,2018-10-30 05:40:00.0000000
96,    39 012 217.304,2018-10-30 05:35:00.0000000
97,    39 012 119.228,2018-10-30 05:30:00.0000000
98,    39 012 021.020,2018-10-30 05:25:00.0000000
99,    39 011 932.964,2018-10-30 05:20:00.0000000
100,    39 011 837.291,2018-10-30 05:15:00.0000000
101,    39 011 732.943,2018-10-30 05:10:00.0000000
102,    39 011 637.963,2018-10-30 05:05:00.0000000
103,    39 011 534.735,2018-10-30 05:00:00.0000000
104,    39 011 433.864,2018-10-30 04:55:00.0000000
105,    39 011 334.265,2018-10-30 04:50:00.0000000
106,    39 011 245.309,2018-10-30 04:45:00.0000000
107,    39 011 155.931,2018-10-30 04:40:00.0000000
108,    39 011 065.549,2018-10-30 04:35:00.0000000
109,    39 010 967.418,2018-10-30 04:30:00.0000000
110,    39 010 865.416,2018-10-30 04:25:00.0000000
111,    39 010 764.336,2018-10-30 04:20:00.0000000
112,    39 010 673.816,2018-10-30 04:15:00.0000000
113,    39 010 580.094,2018-10-30 04:10:00.0000000
114,    39 010 478.519,2018-10-30 04:05:00.0000000
115,    39 010 383.349,2018-10-30 04:00:00.0000000
116,    39 010 283.472,2018-10-30 03:55:00.0000000
117,    39 010 179.387,2018-10-30 03:50:00.0000000
118,    39 010 074.636,2018-10-30 03:45:00.0000000
119,    39 009 987.481,2018-10-30 03:40:00.0000000
120,    39 009 897.697,2018-10-30 03:35:00.0000000
121,    39 009 802.224,2018-10-30 03:30:00.0000000
122,    39 009 711.544,2018-10-30 03:25:00.0000000
123,    39 009 614.761,2018-10-30 03:20:00.0000000
124,    39 009 511.284,2018-10-30 03:15:00.0000000
125,    39 009 405.647,2018-10-30 03:10:00.0000000
126,    39 009 301.979,2018-10-30 03:05:00.0000000
127,    39 009 205.451,2018-10-30 03:00:00.0000000
128,    39 009 108.756,2018-10-30 02:55:00.0000000
129,    39 009 008.060,2018-10-30 02:50:00.0000000
130,    39 008 917.168,2018-10-30 02:45:00.0000000
131,    39 008 823.811,2018-10-30 02:40:00.0000000
132,    39 008 725.911,2018-10-30 02:35:00.0000000
133,    39 008 630.222,2018-10-30 02:30:00.0000000
134,    39 008 521.726,2018-10-30 02:25:00.0000000
135,    39 008 422.460,2018-10-30 02:20:00.0000000
136,    39 008 317.824,2018-10-30 02:15:00.0000000
137,    39 008 211.870,2018-10-30 02:10:00.0000000
138,    39 008 116.557,2018-10-30 02:05:00.0000000
139,    39 008 028.703,2018-10-30 02:00:00.0000000
140,    39 007 930.951,2018-10-30 01:55:00.0000000
141,    39 007 839.846,2018-10-30 01:50:00.0000000
142,    39 007 750.847,2018-10-30 01:45:00.0000000
143,    39 007 657.618,2018-10-30 01:40:00.0000000
144,    39 007 560.718,2018-10-30 01:35:00.0000000
145,    39 007 464.782,2018-10-30 01:30:00.0000000
146,    39 007 365.786,2018-10-30 01:25:00.0000000
147,    39 007 272.868,2018-10-30 01:20:00.0000000
148,    39 007 188.133,2018-10-30 01:15:00.0000000
149,    39 007 088.795,2018-10-30 01:10:00.0000000
150,    39 007 001.199,2018-10-30 01:05:00.0000000
151,    39 006 891.003,2018-10-30 01:00:00.0000000
152,    39 006 781.920,2018-10-30 00:55:00.0000000
153,    39 006 674.965,2018-10-30 00:50:00.0000000
154,    39 006 584.676,2018-10-30 00:45:00.0000000
155,    39 006 490.580,2018-10-30 00:40:00.0000000
156,    39 006 395.215,2018-10-30 00:35:00.0000000
157,    39 006 301.245,2018-10-30 00:30:00.0000000
158,    39 006 206.794,2018-10-30 00:25:00.0000000
159,    39 006 113.033,2018-10-30 00:20:00.0000000
160,    39 006 014.764,2018-10-30 00:15:00.0000000
161,    39 005 918.438,2018-10-30 00:10:00.0000000
162,    39 005 818.894,2018-10-30 00:05:00.0000000
163,    39 005 718.674,2018-10-30 00:00:00.0000000
164,    39 005 634.042,2018-10-29 23:55:00.0000000
165,    39 005 541.829,2018-10-29 23:50:00.0000000
166,    39 005 445.829,2018-10-29 23:45:00.0000000
167,    39 005 346.840,2018-10-29 23:40:00.0000000
168,    39 005 248.812,2018-10-29 23:35:00.0000000
169,    39 005 155.072,2018-10-29 23:30:00.0000000
170,    39 005 072.304,2018-10-29 23:25:00.0000000
171,    39 004 983.886,2018-10-29 23:20:00.0000000
172,    39 004 895.722,2018-10-29 23:15:00.0000000
173,    39 004 803.576,2018-10-29 23:10:00.0000000
174,    39 004 715.861,2018-10-29 23:05:00.0000000
175,    39 004 616.294,2018-10-29 23:00:00.0000000
176,    39 004 521.555,2018-10-29 22:55:00.0000000
177,    39 004 426.359,2018-10-29 22:50:00.0000000
178,    39 004 333.510,2018-10-29 22:45:00.0000000
179,    39 004 241.833,2018-10-29 22:40:00.0000000
180,    39 004 148.566,2018-10-29 22:35:00.0000000
181,    39 004 056.512,2018-10-29 22:30:00.0000000
182,    39 003 959.135,2018-10-29 22:25:00.0000000
183,    39 003 858.897,2018-10-29 22:20:00.0000000
184,    39 003 753.236,2018-10-29 22:15:00.0000000
185,    39 003 646.881,2018-10-29 22:10:00.0000000
186,    39 003 546.644,2018-10-29 22:05:00.0000000
187,    39 003 451.695,2018-10-29 22:00:00.0000000
188,    39 003 356.157,2018-10-29 21:55:00.0000000
189,    39 003 257.987,2018-10-29 21:50:00.0000000
190,    39 003 152.957,2018-10-29 21:45:00.0000000
191,    39 003 064.248,2018-10-29 21:40:00.0000000
192,    39 002 968.868,2018-10-29 21:35:00.0000000
193,    39 002 862.405,2018-10-29 21:30:00.0000000
194,    39 002 760.998,2018-10-29 21:25:00.0000000
195,    39 002 665.999,2018-10-29 21:20:00.0000000
196,    39 002 567.216,2018-10-29 21:15:00.0000000
197,    39 002 465.462,2018-10-29 21:10:00.0000000
198,    39 002 369.554,2018-10-29 21:05:00.0000000
199,    39 002 260.365,2018-10-29 21:00:00.0000000
200,    39 002 157.521,2018-10-29 20:55:00.0000000
201,    39 002 065.419,2018-10-29 20:50:00.0000000
202,    39 001 961.042,2018-10-29 20:45:00.0000000
203,    39 001 857.219,2018-10-29 20:40:00.0000000
204,    39 001 744.672,2018-10-29 20:35:00.0000000
205,    39 001 646.977,2018-10-29 20:30:00.0000000
206,    39 001 548.329,2018-10-29 20:25:00.0000000
207,    39 001 454.962,2018-10-29 20:20:00.0000000
208,    39 001 360.757,2018-10-29 20:15:00.0000000
209,    39 001 273.932,2018-10-29 20:10:00.0000000
210,    39 001 193.831,2018-10-29 20:05:00.0000000
211,    39 001 098.477,2018-10-29 20:00:00.0000000
212,    39 000 997.560,2018-10-29 19:55:00.0000000
213,    39 000 900.641,2018-10-29 19:50:00.0000000
214,    39 000 818.127,2018-10-29 19:45:00.0000000
