id;Value;InvervalValue;SourceID;Source;QuantityName;QuantityID;Local_Time;TimestampUTC
72586601;    30 143 466.276;      167.472;451;LUZ.10kV_Input2_F59_E150;Active Energy Delivered;129;2018-10-30 13:35:00.0000000;2018-10-30 10:35:00.0000000
72586164;    30 143 298.804;      160.897;451;LUZ.10kV_Input2_F59_E150;Active Energy Delivered;129;2018-10-30 13:30:00.0000000;2018-10-30 10:30:00.0000000
72585196;    30 143 137.907;      144.818;451;LUZ.10kV_Input2_F59_E150;Active Energy Delivered;129;2018-10-30 13:25:00.0000000;2018-10-30 10:25:00.0000000
72584776;    30 142 993.089;      143.084;451;LUZ.10kV_Input2_F59_E150;Active Energy Delivered;129;2018-10-30 13:20:00.0000000;2018-10-30 10:20:00.0000000
72583837;    30 142 850.005;      148.559;451;LUZ.10kV_Input2_F59_E150;Active Energy Delivered;129;2018-10-30 13:15:00.0000000;2018-10-30 10:15:00.0000000
72583566;    30 142 701.446;      151.016;451;LUZ.10kV_Input2_F59_E150;Active Energy Delivered;129;2018-10-30 13:10:00.0000000;2018-10-30 10:10:00.0000000
72583147;    30 142 550.430;      161.924;451;LUZ.10kV_Input2_F59_E150;Active Energy Delivered;129;2018-10-30 13:05:00.0000000;2018-10-30 10:05:00.0000000
72582240;    30 142 388.506;      168.413;451;LUZ.10kV_Input2_F59_E150;Active Energy Delivered;129;2018-10-30 13:00:00.0000000;2018-10-30 10:00:00.0000000
72581696;    30 142 220.093;      172.739;451;LUZ.10kV_Input2_F59_E150;Active Energy Delivered;129;2018-10-30 12:55:00.0000000;2018-10-30 09:55:00.0000000
72581225;    30 142 047.354;      172.213;451;LUZ.10kV_Input2_F59_E150;Active Energy Delivered;129;2018-10-30 12:50:00.0000000;2018-10-30 09:50:00.0000000
72580497;    30 141 875.141;      173.569;451;LUZ.10kV_Input2_F59_E150;Active Energy Delivered;129;2018-10-30 12:45:00.0000000;2018-10-30 09:45:00.0000000
72579718;    30 141 701.572;      174.486;451;LUZ.10kV_Input2_F59_E150;Active Energy Delivered;129;2018-10-30 12:40:00.0000000;2018-10-30 09:40:00.0000000
72579613;    30 141 527.086;      174.610;451;LUZ.10kV_Input2_F59_E150;Active Energy Delivered;129;2018-10-30 12:35:00.0000000;2018-10-30 09:35:00.0000000
72579178;    30 141 352.476;      167.945;451;LUZ.10kV_Input2_F59_E150;Active Energy Delivered;129;2018-10-30 12:30:00.0000000;2018-10-30 09:30:00.0000000
72578218;    30 141 184.531;      163.068;451;LUZ.10kV_Input2_F59_E150;Active Energy Delivered;129;2018-10-30 12:25:00.0000000;2018-10-30 09:25:00.0000000
72577793;    30 141 021.463;      161.821;451;LUZ.10kV_Input2_F59_E150;Active Energy Delivered;129;2018-10-30 12:20:00.0000000;2018-10-30 09:20:00.0000000
72576813;    30 140 859.642;      167.653;451;LUZ.10kV_Input2_F59_E150;Active Energy Delivered;129;2018-10-30 12:15:00.0000000;2018-10-30 09:15:00.0000000
72576589;    30 140 691.989;      169.259;451;LUZ.10kV_Input2_F59_E150;Active Energy Delivered;129;2018-10-30 12:10:00.0000000;2018-10-30 09:10:00.0000000
72576170;    30 140 522.730;      174.104;451;LUZ.10kV_Input2_F59_E150;Active Energy Delivered;129;2018-10-30 12:05:00.0000000;2018-10-30 09:05:00.0000000
72575265;    30 140 348.626;      169.646;451;LUZ.10kV_Input2_F59_E150;Active Energy Delivered;129;2018-10-30 12:00:00.0000000;2018-10-30 09:00:00.0000000
72574719;    30 140 178.980;      165.159;451;LUZ.10kV_Input2_F59_E150;Active Energy Delivered;129;2018-10-30 11:55:00.0000000;2018-10-30 08:55:00.0000000
72574216;    30 140 013.821;      159.672;451;LUZ.10kV_Input2_F59_E150;Active Energy Delivered;129;2018-10-30 11:50:00.0000000;2018-10-30 08:50:00.0000000
72573520;    30 139 854.149;      168.401;451;LUZ.10kV_Input2_F59_E150;Active Energy Delivered;129;2018-10-30 11:45:00.0000000;2018-10-30 08:45:00.0000000
72572726;    30 139 685.748;      157.919;451;LUZ.10kV_Input2_F59_E150;Active Energy Delivered;129;2018-10-30 11:40:00.0000000;2018-10-30 08:40:00.0000000
72572637;    30 139 527.829;      159.513;451;LUZ.10kV_Input2_F59_E150;Active Energy Delivered;129;2018-10-30 11:35:00.0000000;2018-10-30 08:35:00.0000000
72572208;    30 139 368.316;      171.013;451;LUZ.10kV_Input2_F59_E150;Active Energy Delivered;129;2018-10-30 11:30:00.0000000;2018-10-30 08:30:00.0000000
72571226;    30 139 197.303;      158.860;451;LUZ.10kV_Input2_F59_E150;Active Energy Delivered;129;2018-10-30 11:25:00.0000000;2018-10-30 08:25:00.0000000
72570818;    30 139 038.443;      156.552;451;LUZ.10kV_Input2_F59_E150;Active Energy Delivered;129;2018-10-30 11:20:00.0000000;2018-10-30 08:20:00.0000000
72569775;    30 138 881.891;      158.640;451;LUZ.10kV_Input2_F59_E150;Active Energy Delivered;129;2018-10-30 11:15:00.0000000;2018-10-30 08:15:00.0000000
72569610;    30 138 723.251;      148.471;451;LUZ.10kV_Input2_F59_E150;Active Energy Delivered;129;2018-10-30 11:10:00.0000000;2018-10-30 08:10:00.0000000
72569191;    30 138 574.780;      156.114;451;LUZ.10kV_Input2_F59_E150;Active Energy Delivered;129;2018-10-30 11:05:00.0000000;2018-10-30 08:05:00.0000000
72568267;    30 138 418.666;      169.656;451;LUZ.10kV_Input2_F59_E150;Active Energy Delivered;129;2018-10-30 11:00:00.0000000;2018-10-30 08:00:00.0000000
72567737;    30 138 249.010;      173.793;451;LUZ.10kV_Input2_F59_E150;Active Energy Delivered;129;2018-10-30 10:55:00.0000000;2018-10-30 07:55:00.0000000
72567224;    30 138 075.217;      173.375;451;LUZ.10kV_Input2_F59_E150;Active Energy Delivered;129;2018-10-30 10:50:00.0000000;2018-10-30 07:50:00.0000000
72566542;    30 137 901.842;      167.353;451;LUZ.10kV_Input2_F59_E150;Active Energy Delivered;129;2018-10-30 10:45:00.0000000;2018-10-30 07:45:00.0000000
72565809;    30 137 734.489;      162.097;451;LUZ.10kV_Input2_F59_E150;Active Energy Delivered;129;2018-10-30 10:40:00.0000000;2018-10-30 07:40:00.0000000
72565659;    30 137 572.392;      171.975;451;LUZ.10kV_Input2_F59_E150;Active Energy Delivered;129;2018-10-30 10:35:00.0000000;2018-10-30 07:35:00.0000000
72565212;    30 137 400.417;      174.130;451;LUZ.10kV_Input2_F59_E150;Active Energy Delivered;129;2018-10-30 10:30:00.0000000;2018-10-30 07:30:00.0000000
72564259;    30 137 226.287;      169.788;451;LUZ.10kV_Input2_F59_E150;Active Energy Delivered;129;2018-10-30 10:25:00.0000000;2018-10-30 07:25:00.0000000
72563840;    30 137 056.499;      167.278;451;LUZ.10kV_Input2_F59_E150;Active Energy Delivered;129;2018-10-30 10:20:00.0000000;2018-10-30 07:20:00.0000000
72562756;    30 136 889.221;      172.906;451;LUZ.10kV_Input2_F59_E150;Active Energy Delivered;129;2018-10-30 10:15:00.0000000;2018-10-30 07:15:00.0000000
72562625;    30 136 716.315;      171.525;451;LUZ.10kV_Input2_F59_E150;Active Energy Delivered;129;2018-10-30 10:10:00.0000000;2018-10-30 07:10:00.0000000
72562214;    30 136 544.790;      166.940;451;LUZ.10kV_Input2_F59_E150;Active Energy Delivered;129;2018-10-30 10:05:00.0000000;2018-10-30 07:05:00.0000000
72561290;    30 136 377.850;      167.416;451;LUZ.10kV_Input2_F59_E150;Active Energy Delivered;129;2018-10-30 10:00:00.0000000;2018-10-30 07:00:00.0000000
72560764;    30 136 210.434;      165.037;451;LUZ.10kV_Input2_F59_E150;Active Energy Delivered;129;2018-10-30 09:55:00.0000000;2018-10-30 06:55:00.0000000
72560243;    30 136 045.397;      163.122;451;LUZ.10kV_Input2_F59_E150;Active Energy Delivered;129;2018-10-30 09:50:00.0000000;2018-10-30 06:50:00.0000000
72559562;    30 135 882.275;      163.850;451;LUZ.10kV_Input2_F59_E150;Active Energy Delivered;129;2018-10-30 09:45:00.0000000;2018-10-30 06:45:00.0000000
72558707;    30 135 718.425;      163.833;451;LUZ.10kV_Input2_F59_E150;Active Energy Delivered;129;2018-10-30 09:40:00.0000000;2018-10-30 06:40:00.0000000
72558678;    30 135 554.592;      162.644;451;LUZ.10kV_Input2_F59_E150;Active Energy Delivered;129;2018-10-30 09:35:00.0000000;2018-10-30 06:35:00.0000000
72558231;    30 135 391.948;      167.450;451;LUZ.10kV_Input2_F59_E150;Active Energy Delivered;129;2018-10-30 09:30:00.0000000;2018-10-30 06:30:00.0000000
72557206;    30 135 224.498;      170.584;451;LUZ.10kV_Input2_F59_E150;Active Energy Delivered;129;2018-10-30 09:25:00.0000000;2018-10-30 06:25:00.0000000
72556860;    30 135 053.914;      170.794;451;LUZ.10kV_Input2_F59_E150;Active Energy Delivered;129;2018-10-30 09:20:00.0000000;2018-10-30 06:20:00.0000000
72555724;    30 134 883.120;      163.146;451;LUZ.10kV_Input2_F59_E150;Active Energy Delivered;129;2018-10-30 09:15:00.0000000;2018-10-30 06:15:00.0000000
72555652;    30 134 719.974;      138.743;451;LUZ.10kV_Input2_F59_E150;Active Energy Delivered;129;2018-10-30 09:10:00.0000000;2018-10-30 06:10:00.0000000
72555233;    30 134 581.231;      136.213;451;LUZ.10kV_Input2_F59_E150;Active Energy Delivered;129;2018-10-30 09:05:00.0000000;2018-10-30 06:05:00.0000000
72554286;    30 134 445.018;      141.219;451;LUZ.10kV_Input2_F59_E150;Active Energy Delivered;129;2018-10-30 09:00:00.0000000;2018-10-30 06:00:00.0000000
72553782;    30 134 303.799;      149.435;451;LUZ.10kV_Input2_F59_E150;Active Energy Delivered;129;2018-10-30 08:55:00.0000000;2018-10-30 05:55:00.0000000
72553090;    30 134 154.364;      160.363;451;LUZ.10kV_Input2_F59_E150;Active Energy Delivered;129;2018-10-30 08:50:00.0000000;2018-10-30 05:50:00.0000000
72552574;    30 133 994.001;      162.006;451;LUZ.10kV_Input2_F59_E150;Active Energy Delivered;129;2018-10-30 08:45:00.0000000;2018-10-30 05:45:00.0000000
72552150;    30 133 831.995;      159.020;451;LUZ.10kV_Input2_F59_E150;Active Energy Delivered;129;2018-10-30 08:40:00.0000000;2018-10-30 05:40:00.0000000
