Local_Time;InvervalValue
2018-08-04;38997.79406617645
2018-08-05;43238.43335045105
2018-08-06;45380.61315104725
2018-08-07;47059.778575864504
2018-08-08;46405.15315216212
2018-08-09;44979.05571485774
2018-08-10;45762.63704558003
2018-08-11;46723.11681969198
2018-08-12;47094.850475069914
2018-08-13;47240.80170748073
2018-08-14;47381.06894373563
2018-08-15;46929.10726064437
2018-08-16;47417.950664483586
2018-08-17;47916.003502397885
2018-08-18;48241.66197529914
2018-08-19;47713.4081955209
2018-08-20;47372.76806296961
2018-08-21;46771.85205551696
2018-08-22;46938.61262824126
2018-08-23;46652.076114079304
2018-08-24;47007.80015400374
2018-08-25;47017.23771923352
2018-08-26;47017.437031880094
2018-08-27;47861.416282932696
2018-08-28;48270.58522102788
2018-08-29;48100.60626998686
2018-08-30;48393.42262672618
2018-08-31;48905.40644394746
2018-09-01;49135.092684648414
2018-09-02;48710.81119052879
2018-09-03;48850.89351833079
2018-09-04;48996.25571349736
2018-09-05;41646.99175229498
2018-09-06;39683.63343922643
2018-09-07;42552.55887418874
2018-09-08;44718.19572933811
2018-09-09;45546.825838710545
2018-09-10;46583.49870405777
2018-09-11;47385.90602282079
2018-09-12;47050.696413595695
2018-09-13;47203.105848183804
2018-09-14;46908.29590887965
2018-09-15;46805.05034532136
2018-09-16;46831.673407193826
2018-09-17;46482.46564430845
2018-09-18;46942.97818659128
2018-09-19;46395.37571195035
2018-09-20;46648.38662717143
2018-09-21;47355.47277630494
2018-09-22;47218.96686578273
2018-09-23;46721.39891946912
2018-09-24;45236.79215168054
2018-09-25;43488.613291007656
2018-09-26;42725.07517460442
2018-09-27;42975.78150476267
2018-09-28;44358.288902857705
2018-09-29;44718.04934171466
2018-09-30;44705.40200502879
2018-10-01;43804.36400301726
2018-10-02;44953.902401810374
2018-10-03;45176.16464108622
2018-10-04;43501.286384651714
2018-10-05;43257.324630791045
2018-10-06;44937.41957847462
2018-10-07;44675.44854708478
2018-10-08;45349.913128250875
2018-10-09;46011.96227695053
2018-10-10;44268.49656617032
2018-10-11;44660.7023397022
2018-10-12;38264.60700382133
2018-10-13;31037.053002292803
2018-10-14;33066.42900137569
2018-10-15;37375.636200825415
2018-10-16;41189.11812049526
2018-10-17;42665.23207229716
2018-10-18;43551.944843378296
2018-10-19;45307.579706026976
2018-10-20;46112.16662361619
2018-10-21;46172.535574169706
2018-10-22;45809.42934450183
2018-10-23;46414.602006701105
2018-10-24;45948.54520402067
2018-10-25;45953.3843224124
2018-10-26;45690.91539344745
2018-10-27;45461.05723606849
2018-10-28;45570.95354164109
2018-10-29;45930.45892498465
2018-10-30;38220.09415499079
